V      E     gmin  gmax  gmed  diam
-----------------------------------------------
10     9      0     3     1.8   7
20     18     0     5     1.8   0
30     38     0     5     2.5   7
40     76     1     8     3.8   6
50     115    0     10    4.6   4
60     166    1     10    5.5   5
70     244    2     12    7.0   4
80     324    2     14    8.1   4
90     375    2     17    8.3   4
100    505    4     21    10.1  4
110    628    5     25    11.4  4
120    687    4     19    11.4  4
130    824    5     21    12.7  4
140    1004   6     25    14.3  3
150    1153   8     23    15.4  3
160    1325   9     26    16.6  3
170    1427   5     28    16.8  3
180    1609   9     31    17.9  3
190    1830   9     31    19.3  3
200    1929   11    30    19.3  3
